column,nunique,missing_rate,top20_values
desired_job,174,0.0,"B. 데이터 분석가:133; B. 데이터 분석가, C. 데이터 사이언티스트:59; A. 데이터 엔지니어, B. 데이터 분석가, C. 데이터 사이언티스트:49; C. 데이터 사이언티스트:43; B. 데이터 분석가, I. 마케터:21; A. 데이터 엔지니어, B. 데이터 분석가:20; B. 데이터 분석가, G. PM/서비스 기획자:19; I. 마케터:19; A. 데이터 엔지니어, B. 데이터 분석가, C. 데이터 사이언티스트, D. 인공지능 전문가:19; A. 데이터 엔지니어:18; B. 데이터 분석가, C. 데이터 사이언티스트, D. 인공지능 전문가:15; G. PM/서비스 기획자:14; B. 데이터 분석가, G. PM/서비스 기획자, I. 마케터:13; D. 인공지능 전문가:11; H. 자연과학계열 연구자:11; B. 데이터 분석가, C. 데이터 사이언티스트, I. 마케터:10; E. 소프트웨어 개발자:9; C. 데이터 사이언티스트, D. 인공지능 전문가:9; G. PM/서비스 기획자, I. 마케터:8; B. 데이터 분석가, C. 데이터 사이언티스트, G. PM/서비스 기획자:7"
expected_domain,170,0.0,"M. 전문, 과학 및 기술 서비스업:108; K. 금융 및 보험업:107; J. 정보통신업:88; J. 정보통신업, K. 금융 및 보험업:37; J. 정보통신업, M. 전문, 과학 및 기술 서비스업:37; R. 예술, 스포츠 및 여가관련 서비스업:31; C. 제조업:29; U. 국제 및 외국기관:17; K. 금융 및 보험업, M. 전문, 과학 및 기술 서비스업:17; J. 정보통신업, K. 금융 및 보험업, M. 전문, 과학 및 기술 서비스업:10; M. 전문, 과학 및 기술 서비스업, U. 국제 및 외국기관:8; J. 정보통신업, R. 예술, 스포츠 및 여가관련 서비스업:7; Q. 보건업 및 사회복지 서비스업:6; C. 제조업, K. 금융 및 보험업:6; P. 교육 서비스업:6; K. 금융 및 보험업, L. 부동산업:6; O. 공공 행정, 국방 및 사회보장 행정:6; M. 전문, 과학 및 기술 서비스업, R. 예술, 스포츠 및 여가관련 서비스업:5; J. 정보통신업, U. 국제 및 외국기관:5; K. 금융 및 보험업, O. 공공 행정, 국방 및 사회보장 행정:5"
desired_job_except_data,99,0.0,"A. 금융 / 보험 직무:77; D. 소프트웨어 개발자:77; B. 기획 / 전략 / 경영 직무:55; G. 자연과학계열 연구자:47; A. 금융 / 보험 직무, B. 기획 / 전략 / 경영 직무:40; F. PM / 서비스 기획자:35; B. 기획 / 전략 / 경영 직무, H. 마케터 / 영업관리:32; B. 기획 / 전략 / 경영 직무, F. PM / 서비스 기획자:26; A. 금융 / 보험 직무, D. 소프트웨어 개발자:25; A. 금융 / 보험 직무, B. 기획 / 전략 / 경영 직무, H. 마케터 / 영업관리:22; A. 금융 / 보험 직무, B. 기획 / 전략 / 경영 직무, F. PM / 서비스 기획자:18; B. 기획 / 전략 / 경영 직무, F. PM / 서비스 기획자, H. 마케터 / 영업관리:17; D. 소프트웨어 개발자, F. PM / 서비스 기획자:16; D. 소프트웨어 개발자, E. UI/UX 디자이너:14; H. 마케터 / 영업관리:12; A. 금융 / 보험 직무, H. 마케터 / 영업관리:12; E. UI/UX 디자이너:10; D. 소프트웨어 개발자, G. 자연과학계열 연구자:10; A. 금융 / 보험 직무, G. 자연과학계열 연구자:9; B. 기획 / 전략 / 경영 직무, D. 소프트웨어 개발자:9"
desired_certificate,91,0.0,"빅데이터 분석 기사:59; ADsP, SQLD:54; ADsP, SQLD, 빅데이터 분석 기사:52; ADsP, SQLD, 빅데이터 분석 기사, 정보처리기사:43; 빅데이터 분석 기사, 정보처리기사:42; SQLD:42; SQLD, 빅데이터 분석 기사:35; SQLD, 빅데이터 분석 기사, 정보처리기사:29; ADsP:29; ADsP, 빅데이터 분석 기사:28; 정보처리기사:24; SQLD, 정보처리기사:20; ADsP, 빅데이터 분석 기사, 정보처리기사:16; ADsP, SQLD, 빅데이터 분석 기사, 정보처리기사, 태블로 관련 자격증, 구글 애널리스트:16; ADsP, SQLD, 구글 애널리스트:15; ADsP, SQLD, 정보처리기사:13; 빅데이터 분석 기사, 태블로 관련 자격증:11; SQLD, 빅데이터 분석 기사, 태블로 관련 자격증:10; ADsP, 정보처리기사:10; 빅데이터 분석 기사, 정보처리기사, 태블로 관련 자격증, 구글 애널리스트:10"
major_field,43,0.03074866310160428,"IT (컴퓨터 공학 포함):138; 공학 (컴퓨터 공학 제외):125; 경영학:99; 자연과학:84; 사회과학:75; 인문학:43; nan:23; 경제통상학:19; IT (컴퓨터 공학 포함), 공학 (컴퓨터 공학 제외):13; 예체능:11; IT (컴퓨터 공학 포함), 자연과학:10; 경영학, 인문학:10; 의약학:9; IT (컴퓨터 공학 포함), 경영학:8; 경영학, 사회과학:8; 교육학:7; 자연과학, 경영학:7; 경제통상학, 사회과학:6; 공학 (컴퓨터 공학 제외), 자연과학:5; IT (컴퓨터 공학 포함), 인문학:5"
onedayclass_topic,41,0.0,"머신러닝 / 딥러닝 응용:93; 데이터 시각화 (Matplotlib, Seaborn 등):74; Python 응용:56; 데이터 시각화 (Matplotlib, Seaborn 등), 머신러닝 / 딥러닝 응용:54; Python 응용, 데이터 시각화 (Matplotlib, Seaborn 등), 머신러닝 / 딥러닝 응용:48; Python 응용, 데이터 시각화 (Matplotlib, Seaborn 등):45; Python 응용, 데이터 시각화 (Matplotlib, Seaborn 등), 머신러닝 / 딥러닝 응용, SQL 응용, 웹 크롤링:43; SQL 응용:33; Python 응용, 데이터 시각화 (Matplotlib, Seaborn 등), 머신러닝 / 딥러닝 응용, SQL 응용:32; 데이터 시각화 (Matplotlib, Seaborn 등), SQL 응용:25; Python 응용, 머신러닝 / 딥러닝 응용:22; Python 응용, 데이터 시각화 (Matplotlib, Seaborn 등), SQL 응용:22; 웹 크롤링:20; 데이터 시각화 (Matplotlib, Seaborn 등), 머신러닝 / 딥러닝 응용, 웹 크롤링:18; 머신러닝 / 딥러닝 응용, SQL 응용:18; 데이터 시각화 (Matplotlib, Seaborn 등), 웹 크롤링:18; Python 응용, SQL 응용:17; 머신러닝 / 딥러닝 응용, 웹 크롤링:13; Python 응용, 머신러닝 / 딥러닝 응용, SQL 응용:11; 데이터 시각화 (Matplotlib, Seaborn 등), 머신러닝 / 딥러닝 응용, SQL 응용:11"
certificate_acquisition,27,0.0,"없음:460; ADsP:107; ADsP, SQLD:66; SQLD:48; 구글 애널리스트:11; ADsP, 빅데이터 분석 기사:6; 정보처리기사:5; ADsP, SQLD, 정보처리기사:5; ADsP, 정보처리기사:4; 기타:4; 컴퓨터활용능력:3; ADsP, 구글 애널리스트:3; ADsP, SQLD, 구글 애널리스트:3; SQLD, 구글 애널리스트:3; SQLD, 정보처리기사:2; 준비중: SQLD:2; 준비중:2; 빅데이터 분석 기사:2; 준비중: ADsP, SQLD:2; ADsP, SQLD, 빅데이터 분석 기사, 정보처리기사:2"
incumbents_company_level,17,0.0,"국내 대기업 IT 계열 (금융, 제조 ...):296; 국내 빅테크 IT 계열 (네카라쿠배당토):283; 해외 기업 (빅테크):113; 스타트업 C-level:43; 국내와 해외 기업 현직자 모두에게 들었으면 좋겠다.:1; 배터리 관련 기업:1; 바이오인공지능 계열:1; 국내외 반도체 기업:1; 은행 및 보험 쪽 IT:1; 잘 모르겠음:1; 국내 대기업 IT 계열과 해외 기업 현직자에게 가장 듣고 싶습니다:1; 국내 빅테크 IT계열, 해외 기업 둘 다:1; ...:1; 공간정보 관련 직무 계열:1; 1순위: 국내 대기업 IT 계열. 2순위: 해외 기업(빅테크):1; 게임회사:1; 스포츠구단:1"
previous_class_8,16,0.8048128342245989,"nan:602; 해당없음:31; 0001 : 파이썬 문법 기초반:26; 0004 : 데이터 분석 입문반 (머신러닝):25; 0005 : 데이터 분석 입문반 (통계):13; 0006 : 데이터 분석 전처리반(판다스):12; 0008 : 데이터 분석 모델링반 (ML1):10; 0007 : 데이터 분석 전처리 적용반:9; 0002 : SQL 문법 기초반:7; 0001 : 파이썬 문법 기초반, 0004 : 데이터 분석 입문반 (머신러닝):3; 0004 : 데이터 분석 입문반 (머신러닝), 0005 : 데이터 분석 입문반 (통계):3; 0002 : SQL 문법 기초반, 0006 : 데이터 분석 전처리반(판다스):2; 0002 : SQL 문법 기초반, 0005 : 데이터 분석 입문반 (통계):1; 0001 : 파이썬 문법 기초반, 0009 : 데이터 분석 개념반:1; 0005 : 데이터 분석 입문반 (통계), 0006 : 데이터 분석 전처리반(판다스):1; 0004 : 데이터 분석 입문반 (머신러닝), 0006 : 데이터 분석 전처리반(판다스):1; 0001 : 파이썬 문법 기초반, 0002 : SQL 문법 기초반:1"
previous_class_7,12,0.8048128342245989,"nan:602; 해당없음:113; 0001 : 파이썬 문법 기초반:10; 0006 : 데이터 분석 전처리반(판다스):6; 0004 : 데이터 분석 입문반 (머신러닝):4; 0005 : 데이터 분석 입문반 (통계):3; 0002 : SQL 문법 기초반:2; 0008 : 데이터 분석 모델링반 (ML1):2; 0009 : 데이터 분석 개념반:2; 해당없음, 0004 : 데이터 분석 입문반 (머신러닝):1; 0001 : 파이썬 문법 기초반, 0002 : SQL 문법 기초반:1; 0001 : 파이썬 문법 기초반, 0009 : 데이터 분석 개념반:1; 0002 : SQL 문법 기초반, 0004 : 데이터 분석 입문반 (머신러닝):1"
